image_id,image_path,category,style,material,brand,description,tags
07cddef1-1fc8-47e4-a28a-613e60912590,dress/07cddef1-1fc8-47e4-a28a-613e60912590.jpg,dress,casual,cotton,EliteEssence,A chic dress featuring contemporary fashion trends and flattering silhouette.,"dress, women's fashion, apparel, clothing, casual, versatile"
19e4de0d-fb90-47c2-83b4-37e3652c5a16,dress/19e4de0d-fb90-47c2-83b4-37e3652c5a16.jpg,dress,semi-formal,synthetic blend,FashionFinesse,"A vibrant magenta knee-length sheath dress featuring elbow-length sleeves, a round neckline, and a fitted waistline. The skirt section has subtle pleats and functional side pockets. A visible zipper closure is at the back of the neck.","dress, magenta, purple, sheath dress, cocktail dress, work dress, business casual, semi-formal, elbow sleeve, round neck, knee-length, pockets, elegant, women's fashion, fitted waist"
22ee2330-a2e7-4abf-aec1-0699e819a248,dress/22ee2330-a2e7-4abf-aec1-0699e819a248.jpg,dress,"Casual/Semi-formal (bodycon/sheath style, suitable for daywear or evening casual events)",Knit fabric (appears to be a stretch material like jersey or a similar blend),Old Navy,"A sleeveless, fitted mini dress featuring a vibrant and intricate abstract kaleidoscopic pattern. The design incorporates symmetrical motifs in black, light purple, white, and subtle hints of red/orange, creating a dynamic visual effect. It is a bodycon or sheath style dress, likely made from a comfortable stretch knit fabric.","sleeveless dress, mini dress, bodycon dress, sheath dress, abstract pattern, kaleidoscope pattern, geometric pattern, multi-color, casual dress, party dress, womens fashion, knit dress, stretch dress, summer dress, fitted dress"
24890459-3da7-4976-a837-f289e7af0d48,dress/24890459-3da7-4976-a837-f289e7af0d48.jpg,dress,A-line,chiffon,EliteElegance,A versatile dress that can be dressed up or down for different occasions.,"dress, women's fashion, apparel, clothing, casual, versatile"
35f5fecb-755a-45d6-ac3d-3feb8299dc87,dress/35f5fecb-755a-45d6-ac3d-3feb8299dc87.jpg,dress,wrap,denim,FashionFiesta,A versatile dress that can be dressed up or down for different occasions.,"dress, women's fashion, apparel, clothing, casual, versatile"
3eeaf330-2460-4d7f-844f-d7254d12e587,dress/3eeaf330-2460-4d7f-844f-d7254d12e587.jpg,dress,wrap,denim,ChicBoutique,"A stylish dress perfect for various occasions, featuring contemporary design and comfortable fit.","dress, women's fashion, apparel, clothing, casual, versatile"
4114a9c0-eea0-442c-af14-8df6c586a016,dress/4114a9c0-eea0-442c-af14-8df6c586a016.jpg,dress,Casual,Knit cotton,Bee Happy Bella,"A casual, sleeveless dress featuring a full-length front zipper and a V-neck. It has horizontal stripes in navy blue, red, and white. The right side is decorated with red umbrella appliques/embroidery. It also features two large, curved red patch pockets on the sides.","casual dress, striped dress, navy blue, red, white, sleeveless, zipper front, umbrella print, summer dress, beach cover-up, house dress, knit dress, comfortable"
465ff2a7-d489-45c6-a97e-561ba597da54,dress/465ff2a7-d489-45c6-a97e-561ba597da54.jpg,dress,Casual,"Not explicitly visible, likely a woven fabric like cotton or a blend, with a satin-like lining at the neckline.",BoutiqueBliss,"A stylish navy blue casual dress adorned with a charming all-over white butterfly print. It features a wide/scoop neckline and short, cuffed sleeves, suggesting a comfortable and versatile fit, possibly a shift or A-line style.","dress, navy blue, white, butterfly print, short sleeve, cuffed sleeves, casual, shift dress, patterned, women's fashion, spring, summer, day dress"
46e4c390-2154-4f6f-8c6f-e7805564d929,dress/46e4c390-2154-4f6f-8c6f-e7805564d929.jpg,dress,Casual,Lightweight fabric,ChicBoutique,"A casual, sleeveless dress featuring a drawstring neckline, adorned with a repeating abstract pattern of circular motifs in varying shades of blue and white/light grey. The dress has a relaxed, flowy silhouette.","dress, casual dress, summer dress, blue, white, patterned, abstract pattern, circular pattern, mandala print, sleeveless, drawstring neckline, women's fashion"
4719349a-06d4-4ddf-8428-69c6cef55e46,dress/4719349a-06d4-4ddf-8428-69c6cef55e46.jpg,dress,Casual/Playful (Children's dress),"Cotton blend (top), Tulle (skirt)",mywear,"A children's long-sleeve dress featuring a white top with a vibrant rainbow graphic and 'I wish...' text, paired with a layered lavender tulle skirt. The skirt has delicate white unicorn and cloud patterns peeking through the sheer fabric.","Children's dress, Long-sleeve, Rainbow, Unicorn, Tulle skirt, Purple, White, Casual, Playful, Graphic print, Mywear"
475d03c5-3317-4877-b13d-e2142b33bb70,dress/475d03c5-3317-4877-b13d-e2142b33bb70.jpg,dress,Casual,Knit blend,FashionFusion,"A casual short-sleeved top featuring black raglan sleeves and a rounded neckline. The main body of the top is dark grey or black with an intricate pattern of light grey and white flowers, stars, and abstract swirls. Some areas of the pattern also include small geometric dot clusters.","casual, top, shirt, blouse, short-sleeve, floral pattern, grey, black, white, women's fashion, everyday wear, raglan sleeve"
5ab0c815-c152-4726-b540-42876b23c34a,dress/5ab0c815-c152-4726-b540-42876b23c34a.jpg,dress,wrap,denim,UrbanThreads,"An elegant dress with modern styling, suitable for casual and semi-formal events.","dress, women's fashion, apparel, clothing, casual, versatile"
6ccb3f12-7087-4303-a522-3a76d3db8ce6,dress/6ccb3f12-7087-4303-a522-3a76d3db8ce6.jpg,dress,casual,cotton,EliteElegance,"An elegant dress with modern styling, suitable for casual and semi-formal events.","dress, women's fashion, apparel, clothing, casual, versatile"
7a80fe51-8dfd-4e62-a65a-b192365731fa,dress/7a80fe51-8dfd-4e62-a65a-b192365731fa.jpg,dress,Casual,Unidentifiable (appears to be a woven fabric or blend),Zara,"A casual black dress featuring 3/4 sleeves, a round neckline, and a playful scattered print of small maroon and white hearts/dots. The dress has a fitted bodice and a slightly flared skirt with subtle pleating, making it suitable for everyday wear or semi-casual occasions.","dress, mini dress, 3/4 sleeve, heart print, dot print, black dress, maroon, white, casual dress, women's fashion, Zara"
835a1782-1eaf-41f3-9d5f-232161f4db53,dress/835a1782-1eaf-41f3-9d5f-232161f4db53.jpg,dress,Casual,Lightweight Woven Fabric (likely rayon or viscose blend),EliteEssence,A dark teal/deep green casual dress or long tunic featuring a charming white/light-colored floral and bird print. It has long sleeves with elasticated cuffs and subtle ruffle detailing across the upper chest/shoulders.,"casual dress, tunic, floral print, bird print, long sleeve, ruffle detail, dark green, teal, women's fashion, everyday wear"
881c62dc-a47a-444d-86b7-93a27b431f51,dress/881c62dc-a47a-444d-86b7-93a27b431f51.jpg,dress,A-line,chiffon,BoutiqueBeauty,"A fashionable dress designed for everyday wear, combining style and comfort.","dress, women's fashion, apparel, clothing, casual, versatile"
9044c1d9-92ae-42aa-adee-4aeb468f6d5b,dress/9044c1d9-92ae-42aa-adee-4aeb468f6d5b.jpg,dress,"Casual, Feminine",Lightweight woven fabric,StyleSense,"A light pink, long-sleeved dress with a ruffled high collar and a smocked bodice, adorned with a whimsical novelty print of various fashion and accessory items in red, brown, and gold tones. The dress has a relaxed, flowy silhouette below the smocked waist.","dress, long sleeve, pink, smocked, ruffled collar, novelty print, fashion print, accessory print, casual dress, feminine, flowy, lightweight, women's dress"
92f5cc49-20c0-4b60-a206-9f26e4b736a7,dress/92f5cc49-20c0-4b60-a206-9f26e4b736a7.jpg,dress,Smart Casual,"Soft, flowy fabric",ZARA,"A long-sleeved tunic dress in a solid dusty rose color. It features a sophisticated keyhole neckline, cuffed sleeves with button details, and a modern curved hem. The fabric appears soft and drapes elegantly, making it suitable for a variety of smart casual occasions.","dress, tunic, long sleeve, dusty rose, mauve, terracotta, keyhole neckline, cuffed sleeves, curved hem, shift dress, casual, flowy, soft fabric, women's fashion, blouse dress, versatile"
