image_id,image_path,category,style,material,brand,description,tags
24535295-abe3-4613-91f6-a7fe87954662,shoes/24535295-abe3-4613-91f6-a7fe87954662.jpg,shoes,Casual,Synthetic Leather,UrbanThreads,"A pair of dark blue, lace-up casual shoes with perforated detailing, resembling a brogue style. The shoes have a flat sole and are photographed on a vibrant green plastic surface.","lace-up shoes, dark blue, navy, casual, perforated, brogue style, footwear, flats, smart casual"
253dc2b9-f49e-4f55-9917-c9005c29bbd9,shoes/253dc2b9-f49e-4f55-9917-c9005c29bbd9.jpg,shoes,Fashion/Chic,Leather,MANGO,"A pair of black tall boots featuring a high wedge heel and a platform sole. They appear to be made of smooth leather or a high-quality leather-like material, with a side zipper closure. A circular embossed logo is visible on the outer side of the left boot's wedge heel.","Black boots, Wedge heels, Platform boots, Tall boots, Knee-high boots, Leather boots, Women's fashion, Winter boots, Autumn boots, Chic, Stylish, Zipper closure"
32662cf1-4440-459c-b55c-0ba39b71f768,shoes/32662cf1-4440-459c-b55c-0ba39b71f768.jpg,shoes,Casual,"Suede/Nubuck leather (main body), Leather (accents), Rubber/EVA (sole)",EXCEL,"A pair of men's tan suede or nubuck loafers featuring dark brown leather accents on the strap and piping, with prominent white moccasin-style stitching around the toe. The shoe has a white sole with a subtle blue stripe. The brand 'EXCEL' is visible on the insole.","Loafers, Men's shoes, Casual footwear, Suede loafers, Nubuck loafers, Tan shoes, Brown accents, Moccasin style, Slip-on shoes, Fashionable, Comfortable, Flat shoes, Everyday wear"
41302a0b-5faf-48a9-9b40-33885d28a7a6,shoes/41302a0b-5faf-48a9-9b40-33885d28a7a6.jpg,shoes,"Sporty, Casual, Streetwear","Textile, Synthetic (translucent overlay), Rubber",Off-White x Nike,"A pair of Off-White x Nike Blazer Mid 'The Ten' high-top sneakers, featuring an off-white and translucent upper with bright orange laces and a black Nike swoosh. An additional pair of green 'SHOELACES' branded laces is included. The shoes show visible signs of wear and age.","Nike, Off-White, Sneakers, High-top, Collaboration, Streetwear, Casual, Sporty, Blazer Mid, The Ten, Used, White, Orange, Green laces"
454fd50e-89eb-412b-b16c-17f1730ed9b5,shoes/454fd50e-89eb-412b-b16c-17f1730ed9b5.jpg,shoes,sandals,leather,FootwearPro,Quality footwear designed for comfort and durability.,"shoes, footwear, fashion, athletic"
4eba049d-e813-4af9-913a-53b6877cdda2,shoes/4eba049d-e813-4af9-913a-53b6877cdda2.jpg,shoes,athletic,synthetic,FootwearPro,Classic design with modern comfort features.,"shoes, footwear, fashion, casual"
5bb088ac-ea91-419b-851e-1b04b7ce57db,shoes/5bb088ac-ea91-419b-851e-1b04b7ce57db.jpg,shoes,sneakers,rubber,FootwearPro,Comfortable and stylish footwear perfect for everyday wear.,"shoes, footwear, fashion, casual"
5e577f40-dd22-4b40-9827-ce6cae5ac3fd,shoes/5e577f40-dd22-4b40-9827-ce6cae5ac3fd.jpg,shoes,athletic,synthetic,WalkWise,Classic design with modern comfort features.,"shoes, footwear, fashion, casual"
62309a10-d8ff-4f5c-bfb5-85ed0c2682dc,shoes/62309a10-d8ff-4f5c-bfb5-85ed0c2682dc.jpg,shoes,sneakers,synthetic,WalkWise,Fashion-forward shoes that combine style and functionality.,"shoes, footwear, fashion, athletic"
65368501-a7a8-4552-9035-7e812b9b4828,shoes/65368501-a7a8-4552-9035-7e812b9b4828.jpg,shoes,boots,fabric,StepUp,Comfortable and stylish footwear perfect for everyday wear.,"shoes, footwear, fashion, heels"
