image_id,image_path,category,style,material,brand,description,tags
012d1ca9-baaf-4b01-8b60-955f3408b1b7,pants/012d1ca9-baaf-4b01-8b60-955f3408b1b7.jpg,pants,Casual,Cotton blend,FashionForward,"A pair of light beige casual jogger pants featuring a drawstring waist, side patch utility pockets, and elasticated cuffs. The pants appear to be made from a comfortable cotton blend fabric.","Pants, Joggers, Casual pants, Chino style, Beige pants, Light colored, Utility pockets, Elastic cuffs, Comfort wear, Everyday"
0257eb81-f3d3-4704-8299-8b6ab20f1ed4,pants/0257eb81-f3d3-4704-8299-8b6ab20f1ed4.jpg,pants,Casual,Twill fabric,StyleStatement,"Pair of khaki/tan cargo jogger pants featuring an elastic waistband, side cargo pockets, and elasticized ankle cuffs. The pants are accessorized with a decorative silver-tone chain attached to a belt loop, featuring a small padlock charm.","Cargo pants, Joggers, Khaki, Tan, Casualwear, Streetwear, Elastic waist, Elastic cuffs, Pockets, Chain detail, Padlock charm, Comfortable, Unisex"
081b5ec1-13a6-43c8-991f-9ad2020f646a,pants/081b5ec1-13a6-43c8-991f-9ad2020f646a.jpg,pants,Casual,Denim,Brandy Melville,A pair of children's blue denim jeans featuring a comfortable elastic waistband and vibrant floral embroidery on the left leg. The jeans have a classic five-pocket style and a slim fit.,"jeans, denim, pants, children's apparel, kids' clothing, girls' clothing, embroidered, floral, elastic waistband, casual wear, blue jeans"
0d0bb91d-01d7-45df-827d-da96bbc44b15,pants/0d0bb91d-01d7-45df-827d-da96bbc44b15.jpg,pants,Casual,"Denim (main body), Stretchy fabric (waistband)",DesignerDreams,"A pair of blue denim pants featuring a wide, black, elasticized waistband. The pants are laid flat on a light-colored surface, showcasing their casual design and slight fading consistent with washed denim.","pants, jeans, denim, blue, casual, stretchy waistband, jeggings, apparel, bottoms, everyday wear"
17bebe65-17cc-42b3-885f-4e6c64a16f26,pants/17bebe65-17cc-42b3-885f-4e6c64a16f26.jpg,pants,Casual,Denim,TERRA NOVA,"Blue denim skinny jeans for women by Terra Nova, featuring a medium wash with some light fading on the thighs and a classic five-pocket design. The jeans are displayed hanging, showing their full length.","jeans, denim, skinny jeans, blue jeans, women's jeans, casual wear, Terra Nova, five-pocket, mid-wash, stretch jeans"
19ff0603-c52b-4d27-a9b9-cfd9da5e9f35,pants/19ff0603-c52b-4d27-a9b9-cfd9da5e9f35.jpg,pants,Casual,Denim,American Eagle,"A pair of dark blue denim pants, possibly jeggings, featuring a pull-on elastic waistband and a faded wash effect throughout. The ankles have small zipper details on the outer seams.","denim, jeans, pants, casual, blue, faded, ankle zippers, pull-on, jeggings"
1f3fe0f5-4724-43f8-bfce-6e22d1f1f5ba,pants/1f3fe0f5-4724-43f8-bfce-6e22d1f1f5ba.jpg,pants,classic,synthetic,StyleSense,"A comfortable pair of pants designed for everyday wear, featuring modern fit and style.","pants, trousers, bottoms, casual, apparel, versatile"
24eb8ba7-065a-4493-8fa6-b3afa89751f6,pants/24eb8ba7-065a-4493-8fa6-b3afa89751f6.jpg,pants,slim fit,chino,DesignerDynamo,A versatile pair of pants that can be dressed up or down for different settings.,"pants, trousers, bottoms, casual, apparel, versatile"
2d88dcfb-2418-49fa-82b2-b5d4500ed542,pants/2d88dcfb-2418-49fa-82b2-b5d4500ed542.jpg,pants,smart-casual,denim,LuxeLabel,"Stylish trousers perfect for casual and smart-casual occasions, with contemporary design.","pants, trousers, bottoms, casual, apparel, versatile"
2f03be8f-7053-4b94-b619-d5166b34ef3f,pants/2f03be8f-7053-4b94-b619-d5166b34ef3f.jpg,pants,bootcut,linen,FashionFinesse,"Stylish trousers perfect for casual and smart-casual occasions, with contemporary design.","pants, trousers, bottoms, casual, apparel, versatile"
38dbb71c-2e31-4f17-af08-90719ad818d0,pants/38dbb71c-2e31-4f17-af08-90719ad818d0.jpg,pants,Sporty,"Nylon with a slightly crinkled, lightweight appearance",New Balance,"A pair of dark blue athletic or casual pants, likely made from a lightweight synthetic material. They feature a straight leg cut, an elasticized waist (partially obscured), and a small, illegible brand tag on the right side of the waistband, indicating they are new.","Pants, Sporty, Athletic pants, Track pants, Casual pants, Dark blue, Solid color, Synthetic material, New with tags, Unisex"
38e03d31-8068-4d73-82ac-c66334f907a5,pants/38e03d31-8068-4d73-82ac-c66334f907a5.jpg,pants,wide leg,blend,PremiumPieces,"Stylish trousers perfect for casual and smart-casual occasions, with contemporary design.","pants, trousers, bottoms, casual, apparel, versatile"
3c8b71f9-ed39-4916-8fa1-ecc82a3d5986,pants/3c8b71f9-ed39-4916-8fa1-ecc82a3d5986.jpg,pants,skinny,stretch,FashionFlair,Fashionable pants featuring current trends and comfortable fit for all-day wear.,"pants, trousers, bottoms, casual, apparel, versatile"
3fa6aae4-c8de-4681-bd3b-1faa60dca0d0,pants/3fa6aae4-c8de-4681-bd3b-1faa60dca0d0.jpg,pants,skinny,stretch,UrbanElite,"A comfortable pair of pants designed for everyday wear, featuring modern fit and style.","pants, trousers, bottoms, casual, apparel, versatile"
