image_id,image_path,category,style,material,brand,description,tags
2459a9ab-b654-4aef-be7c-89340da78cec,skirt/2459a9ab-b654-4aef-be7c-89340da78cec.jpg,skirt,casual,fabric,StyleSense,"A black mini skirt featuring a scattered white floral pattern, designed in a flared or A-line silhouette, perfect for casual wear.","skirt, black, white, floral, mini skirt, casual, A-line, flared, summer, spring, women's fashion"
2ac96388-4353-44b6-a174-de2f2523afd1,skirt/2ac96388-4353-44b6-a174-de2f2523afd1.jpg,skirt,Casual,Cotton blend,BoutiqueBeauty,A casual black and white gingham pattern skirt or skort featuring an elastic waistband and ruffles along the hem and the diagonal wrap-style front.,"skirt, skort, gingham, checkered, black and white, ruffles, wrap style, elastic waist, casual wear, summer fashion"
36d30ee9-1a06-49a5-94ca-1e58f13e7dc2,skirt/36d30ee9-1a06-49a5-94ca-1e58f13e7dc2.jpg,skirt,pleated,chiffon,UrbanUniverse,A chic skirt featuring current fashion trends and comfortable wearability.,"skirt, bottoms, women's fashion, apparel, casual, versatile"
3878a7f2-61f1-4594-91f1-7e05e6227272,skirt/3878a7f2-61f1-4594-91f1-7e05e6227272.jpg,skirt,bodycon,synthetic,StyleVogue,"A fashionable skirt with modern styling, suitable for casual and semi-formal events.","skirt, bottoms, women's fashion, apparel, casual, versatile"
4c2b720f-6916-4edf-a732-847c55eec881,skirt/4c2b720f-6916-4edf-a732-847c55eec881.jpg,skirt,casual,cotton,UrbanElite,An elegant skirt that combines timeless design with contemporary fashion elements.,"skirt, bottoms, women's fashion, apparel, casual, versatile"
4d5d201a-11cb-4e5c-b291-9b8c833c4ddf,skirt/4d5d201a-11cb-4e5c-b291-9b8c833c4ddf.jpg,skirt,Smart casual,Woven fabric,StyleSymphony,"A vibrant red, solid-colored mini skirt made from a smooth woven fabric, featuring a straight cut and a subtle texture.","red skirt, mini skirt, solid color, women's fashion, bottoms, smart casual, casual, straight cut, versatile"
7f160564-1b10-4cf0-bb61-5d9af037e898,skirt/7f160564-1b10-4cf0-bb61-5d9af037e898.jpg,skirt,maxi,satin,FashionFlair,A chic skirt featuring current fashion trends and comfortable wearability.,"skirt, bottoms, women's fashion, apparel, casual, versatile"
92e0e80a-d72a-4bed-9ee3-84343618f0bf,skirt/92e0e80a-d72a-4bed-9ee3-84343618f0bf.jpg,skirt,pleated,chiffon,DesignerDynamo,An elegant skirt that combines timeless design with contemporary fashion elements.,"skirt, bottoms, women's fashion, apparel, casual, versatile"
ad82f227-e35f-4268-a6e3-ef417bf96656,skirt/ad82f227-e35f-4268-a6e3-ef417bf96656.jpg,skirt,casual,cotton,UrbanUptown,An elegant skirt that combines timeless design with contemporary fashion elements.,"skirt, bottoms, women's fashion, apparel, casual, versatile"
adefd137-8fd0-415b-8139-f406e5f46182,skirt/adefd137-8fd0-415b-8139-f406e5f46182.jpg,skirt,wrap,blend,ChicCollection,"A fashionable skirt with modern styling, suitable for casual and semi-formal events.","skirt, bottoms, women's fashion, apparel, casual, versatile"
bb361f03-abc9-4a8e-a2a4-ff306a5b4612,skirt/bb361f03-abc9-4a8e-a2a4-ff306a5b4612.jpg,skirt,pleated,chiffon,ClassicCouture,"A fashionable skirt with modern styling, suitable for casual and semi-formal events.","skirt, bottoms, women's fashion, apparel, casual, versatile"
ecdc68a9-12c7-449b-ab3a-4b2a8e71b197,skirt/ecdc68a9-12c7-449b-ab3a-4b2a8e71b197.jpg,skirt,pencil,rayon,BoutiqueBrand,An elegant skirt that combines timeless design with contemporary fashion elements.,"skirt, bottoms, women's fashion, apparel, casual, versatile"
