image_id,image_path,category,style,material,brand,description,tags
00143901-a14c-4600-960f-7747b4a3a8cd,shirt/00143901-a14c-4600-960f-7747b4a3a8cd.jpg,shirt,Casual,Woven fabric,ClassicCouture,"A men's short-sleeved, collared button-up shirt featuring an all-over intricate geometric pattern in shades of grey and black. The shirt is displayed unbuttoned and laid flat.","Short sleeve, Button-up, Collared shirt, Men's fashion, Casual wear, Grey shirt, Geometric print, Patterned shirt"
0e7453e0-023c-4c34-b837-e6349846b112,shirt/0e7453e0-023c-4c34-b837-e6349846b112.jpg,shirt,casual,Cotton blend,Polo Ralph Lauren,"A short-sleeved, collared button-up men's shirt in beige with a blue plaid/grid pattern and a single chest pocket. Features an embroidered Polo logo on the pocket.","shirt, men's shirt, short sleeve, button-up, collared shirt, plaid, grid pattern, beige, blue, casual, Polo, summer wear, checkered"
118fb0e8-2783-4086-b81a-d2a332fbb4f2,shirt/118fb0e8-2783-4086-b81a-d2a332fbb4f2.jpg,shirt,casual,cotton,FashionForward,"A chic shirt designed for everyday wear, featuring current fashion trends.","shirt, top, casual, apparel, versatile, everyday wear"
1d2e0956-07d7-41d8-9286-ea98d1d32dbd,shirt/1d2e0956-07d7-41d8-9286-ea98d1d32dbd.jpg,shirt,casual,soft fabric,BoutiqueBrand,"A long-sleeved, band-collar shirt featuring a vibrant and intricate floral and botanical pattern. The design incorporates various shades of blue, dark navy, golden brown, and hints of purple, creating a dynamic visual. It appears to be made from a soft, flowing fabric.","long sleeve, shirt, blouse, floral, botanical, blue, patterned, band collar, button-up, casual, smart casual, women's apparel"
235230d6-8a23-4981-bc43-5e62c0570f44,shirt/235230d6-8a23-4981-bc43-5e62c0570f44.jpg,shirt,flannel,polyester,StyleVogue,A classic shirt that blends timeless design with contemporary fashion elements.,"shirt, top, casual, apparel, versatile, everyday wear"
29f8cf36-3ae6-4558-9f42-82f330c15b3d,shirt/29f8cf36-3ae6-4558-9f42-82f330c15b3d.jpg,shirt,Business Casual,Cotton Blend,FashionFusion,"A light grey or subtle lavender long-sleeved collared shirt with a faint pinstripe pattern, partially unbuttoned, lying flat on a reddish-pink surface.","long sleeve, collared shirt, dress shirt, pinstripe, business casual, men's fashion, light color, button-down"
309ead9a-2672-40b7-8a09-ab5fc6abccc0,shirt/309ead9a-2672-40b7-8a09-ab5fc6abccc0.jpg,shirt,Casual,Denim,BoutiqueBeauty,"A casual, loose-fitting blue denim button-up shirt with long sleeves, a classic collar, and an intentionally frayed raw hem. It is unbuttoned and laid flat on a red surface.","denim shirt, button-up, long sleeve, collared shirt, casual wear, oversized, frayed hem, blue, shacket, outerwear"
31315e30-2742-4f7f-8168-10a0645d2163,shirt/31315e30-2742-4f7f-8168-10a0645d2163.jpg,shirt,Casual,Fabric,Brandy Melville,"A dark blue long-sleeved button-down shirt featuring an all-over white nautical print of anchors and small boat-like shapes. The shirt has a contrasting red lining visible on the inner collar and a red trim along the button placket, which is fastened with light-colored buttons.","shirt, long sleeve, button-down, nautical, anchors, boats, blue, red, print, casual, apparel, top"
328e21ed-2843-4469-a49d-4c01470dc98d,shirt/328e21ed-2843-4469-a49d-4c01470dc98d.jpg,shirt,relaxed fit,blend,LuxeLabel,"A stylish shirt perfect for casual and smart-casual occasions, featuring contemporary design.","shirt, top, casual, apparel, versatile, everyday wear"
4db14d3d-05ca-48b1-9257-204b447c27bb,shirt/4db14d3d-05ca-48b1-9257-204b447c27bb.jpg,shirt,formal,cotton blend,Hugo Boss,"A light blue, long-sleeved button-down shirt with a classic pointed collar. The shirt appears to be made of a smooth, possibly cotton blend fabric, suitable for formal or smart-casual wear. It features a row of small, dark buttons down the front placket.","men's shirt, dress shirt, button-down, long sleeve, blue shirt, light blue, Hugo Boss, collared shirt, smart casual, business attire"
