image_id,image_path,category,style,material,brand,description,tags
0090ca2c-e8c8-43f6-b764-e48e0e954006,t-shirt/0090ca2c-e8c8-43f6-b764-e48e0e954006.jpg,t-shirt,fitted,organic cotton,StyleStudio,A fashionable t-shirt designed for comfort and style in casual settings.,"t-shirt, tee, top, casual, apparel, comfortable"
06de9ebd-be39-4cc6-aea7-1d047ccf1a52,t-shirt/06de9ebd-be39-4cc6-aea7-1d047ccf1a52.jpg,t-shirt,oversized,ring-spun,FashionFusion,"A stylish casual t-shirt with contemporary styling, ideal for relaxed occasions.","t-shirt, tee, top, casual, apparel, comfortable"
07b294ee-9a04-4795-9af2-7a1c801e8db0,t-shirt/07b294ee-9a04-4795-9af2-7a1c801e8db0.jpg,t-shirt,oversized,ring-spun,COS,A versatile t-shirt that can be layered or worn alone for various looks.,"t-shirt, tee, top, casual, apparel, comfortable"
099de1d5-7422-4230-b11b-fe581139b82c,t-shirt/099de1d5-7422-4230-b11b-fe581139b82c.jpg,t-shirt,v-neck,cotton blend,GU,A classic t-shirt that combines timeless design with modern fashion trends.,"t-shirt, tee, top, casual, apparel, comfortable"
09cd8fdf-bbe9-4908-8f54-f399bc635c9b,t-shirt/09cd8fdf-bbe9-4908-8f54-f399bc635c9b.jpg,t-shirt,Casual,Cotton blend,TOBY,"A white short-sleeve, round-neck t-shirt featuring a prominent artistic graphic print on the front. The print depicts a stylized woman in a green top and black high heels in a dynamic, high-kicking pose, overlaid on a distressed collage background composed of various images, dollar signs, and blue abstract text. The t-shirt has a relaxed fit.","White t-shirt, Graphic tee, Women's t-shirt, Casual top, Round neck, Short sleeve, Fashion print, Artistic print, Collage design, Dynamic print, TOBY brand, Lightweight fabric"
0acef3a8-51f3-42ce-8842-10e4898c0a0f,t-shirt/0acef3a8-51f3-42ce-8842-10e4898c0a0f.jpg,t-shirt,sporty,synthetic blend,Adidas,"A white short-sleeved Adidas t-shirt featuring a dynamic grey and white geometric block pattern across the chest and body, with the Adidas logo prominently displayed on the upper grey band. It also has the iconic three grey stripes on both shoulders/sleeves.","Adidas, t-shirt, men's, sporty, athletic, casual, white, grey, geometric, short sleeve, crew neck, performance wear"
0e240297-2265-411e-b386-cb59a44f98ae,t-shirt/0e240297-2265-411e-b386-cb59a44f98ae.jpg,t-shirt,basic,blend,StreetStyle,A classic t-shirt that combines timeless design with modern fashion trends.,"t-shirt, tee, top, casual, apparel, comfortable"
12a48c81-d35b-45f8-93fd-5d69153163e2,t-shirt/12a48c81-d35b-45f8-93fd-5d69153163e2.jpg,t-shirt,v-neck,cotton blend,COS,"A comfortable t-shirt perfect for everyday wear, featuring modern design and soft fabric.","t-shirt, tee, top, casual, apparel, comfortable"
12fdd808-d883-4428-9df0-c16e91cca103,t-shirt/12fdd808-d883-4428-9df0-c16e91cca103.jpg,t-shirt,v-neck,cotton blend,TrendSet,A versatile t-shirt that can be layered or worn alone for various looks.,"t-shirt, tee, top, casual, apparel, comfortable"
138183f7-178c-4d31-9069-60226d43fab4,t-shirt/138183f7-178c-4d31-9069-60226d43fab4.jpg,t-shirt,modern,breathable,ChicChoice,"A stylish casual t-shirt with contemporary styling, ideal for relaxed occasions.","t-shirt, tee, top, casual, apparel, comfortable"
164900f8-4d29-454b-97ba-5d7d22f5cfe2,t-shirt/164900f8-4d29-454b-97ba-5d7d22f5cfe2.jpg,t-shirt,fitted,organic cotton,ChicChoice,A fashionable t-shirt designed for comfort and style in casual settings.,"t-shirt, tee, top, casual, apparel, comfortable"
16f1fbdf-d339-40f6-aecb-e55199db7a96,t-shirt/16f1fbdf-d339-40f6-aecb-e55199db7a96.jpg,t-shirt,v-neck,cotton blend,UrbanUptown,A versatile t-shirt that can be layered or worn alone for various looks.,"t-shirt, tee, top, casual, apparel, comfortable"
1a5d03c8-1a59-409d-bb5e-5958dc7620b8,t-shirt/1a5d03c8-1a59-409d-bb5e-5958dc7620b8.jpg,t-shirt,crew neck,jersey,UrbanUniverse,"A comfortable t-shirt perfect for everyday wear, featuring modern design and soft fabric.","t-shirt, tee, top, casual, apparel, comfortable"
1ab00c0e-4fc7-45d4-b9af-7d1bd75e1fd9,t-shirt/1ab00c0e-4fc7-45d4-b9af-7d1bd75e1fd9.jpg,t-shirt,fitted,organic cotton,FashionForward,A fashionable t-shirt designed for comfort and style in casual settings.,"t-shirt, tee, top, casual, apparel, comfortable"
2324306f-d9a3-47b7-b648-8684b8aca35c,t-shirt/2324306f-d9a3-47b7-b648-8684b8aca35c.jpg,t-shirt,oversized,ring-spun,UrbanElite,A versatile t-shirt that can be layered or worn alone for various looks.,"t-shirt, tee, top, casual, apparel, comfortable"
24ccd098-8f30-4b75-a1aa-06a8c42d9835,t-shirt/24ccd098-8f30-4b75-a1aa-06a8c42d9835.jpg,t-shirt,v-neck,cotton blend,COS,A versatile t-shirt that can be layered or worn alone for various looks.,"t-shirt, tee, top, casual, apparel, comfortable"
275874a1-4cfd-4852-a751-24cf7f666517,t-shirt/275874a1-4cfd-4852-a751-24cf7f666517.jpg,t-shirt,relaxed fit,tri-blend,FashionFable,"A comfortable t-shirt perfect for everyday wear, featuring modern design and soft fabric.","t-shirt, tee, top, casual, apparel, comfortable"
27983c13-54bf-463d-84a6-94ec799b70ab,t-shirt/27983c13-54bf-463d-84a6-94ec799b70ab.jpg,t-shirt,modern,breathable,TrendSet,A versatile t-shirt that can be layered or worn alone for various looks.,"t-shirt, tee, top, casual, apparel, comfortable"
27e1dfc7-4a9a-4049-ad9c-253535a92b94,t-shirt/27e1dfc7-4a9a-4049-ad9c-253535a92b94.jpg,t-shirt,v-neck,cotton blend,GU,"A comfortable t-shirt perfect for everyday wear, featuring modern design and soft fabric.","t-shirt, tee, top, casual, apparel, comfortable"
28709ef4-cebf-40c5-8347-f59932bf9323,t-shirt/28709ef4-cebf-40c5-8347-f59932bf9323.jpg,t-shirt,oversized,ring-spun,EliteEssence,A classic t-shirt that combines timeless design with modern fashion trends.,"t-shirt, tee, top, casual, apparel, comfortable"
2952baa3-1c19-4629-aac5-48f9c123f4b1,t-shirt/2952baa3-1c19-4629-aac5-48f9c123f4b1.jpg,t-shirt,casual,cotton,EliteWear,A versatile t-shirt that can be layered or worn alone for various looks.,"t-shirt, tee, top, casual, apparel, comfortable"
2a15cfb2-881f-47f2-a631-decf0a5ec2af,t-shirt/2a15cfb2-881f-47f2-a631-decf0a5ec2af.jpg,t-shirt,v-neck,cotton blend,ChicBoutique,A fashionable t-shirt designed for comfort and style in casual settings.,"t-shirt, tee, top, casual, apparel, comfortable"
2ae08b28-adf9-4fc8-b150-513cad510b1e,t-shirt/2ae08b28-adf9-4fc8-b150-513cad510b1e.jpg,t-shirt,basic,blend,DesignerDynamo,"A stylish casual t-shirt with contemporary styling, ideal for relaxed occasions.","t-shirt, tee, top, casual, apparel, comfortable"
2b84e88f-fa18-4af8-b6ef-e51abb38d760,t-shirt/2b84e88f-fa18-4af8-b6ef-e51abb38d760.jpg,t-shirt,crew neck,jersey,UrbanElite,A fashionable t-shirt designed for comfort and style in casual settings.,"t-shirt, tee, top, casual, apparel, comfortable"
2b8f8ba1-9264-4eeb-bdf5-0a141490db17,t-shirt/2b8f8ba1-9264-4eeb-bdf5-0a141490db17.jpg,t-shirt,casual,cotton,FashionFusion,"A comfortable t-shirt perfect for everyday wear, featuring modern design and soft fabric.","t-shirt, tee, top, casual, apparel, comfortable"
2ce576f8-cb93-43ee-933b-22d1c6d1678f,t-shirt/2ce576f8-cb93-43ee-933b-22d1c6d1678f.jpg,t-shirt,relaxed fit,tri-blend,THISISNEVERTHAT,"A comfortable t-shirt perfect for everyday wear, featuring modern design and soft fabric.","t-shirt, tee, top, casual, apparel, comfortable"
3861b881-90d1-446d-ad1a-8b93e96dc935,t-shirt/3861b881-90d1-446d-ad1a-8b93e96dc935.jpg,t-shirt,casual,cotton,TrendSet,A versatile t-shirt that can be layered or worn alone for various looks.,"t-shirt, tee, top, casual, apparel, comfortable"
3972b4a1-41b6-4333-8f65-e6a776e94e18,t-shirt/3972b4a1-41b6-4333-8f65-e6a776e94e18.jpg,t-shirt,oversized,ring-spun,DesignerDenim,"A stylish casual t-shirt with contemporary styling, ideal for relaxed occasions.","t-shirt, tee, top, casual, apparel, comfortable"
3e33ad0d-e342-429c-89bd-fb1ece1a4065,t-shirt/3e33ad0d-e342-429c-89bd-fb1ece1a4065.jpg,t-shirt,basic,blend,LuxeLabel,"A comfortable t-shirt perfect for everyday wear, featuring modern design and soft fabric.","t-shirt, tee, top, casual, apparel, comfortable"
47533149-1373-4576-9d70-8b4bf33a687c,t-shirt/47533149-1373-4576-9d70-8b4bf33a687c.jpg,t-shirt,fitted,organic cotton,BoutiqueBrand,"A stylish casual t-shirt with contemporary styling, ideal for relaxed occasions.","t-shirt, tee, top, casual, apparel, comfortable"
4a9ce2fd-5ffb-438a-93d6-83463910b87a,t-shirt/4a9ce2fd-5ffb-438a-93d6-83463910b87a.jpg,t-shirt,fitted,organic cotton,EliteElegance,A versatile t-shirt that can be layered or worn alone for various looks.,"t-shirt, tee, top, casual, apparel, comfortable"
4fd981b1-d7fe-4d7f-8029-8e5532723129,t-shirt/4fd981b1-d7fe-4d7f-8029-8e5532723129.jpg,t-shirt,crew neck,jersey,FashionFable,A fashionable t-shirt designed for comfort and style in casual settings.,"t-shirt, tee, top, casual, apparel, comfortable"
5909f313-edfd-4d94-9cdb-3a05e02bb926,t-shirt/5909f313-edfd-4d94-9cdb-3a05e02bb926.jpg,t-shirt,oversized,ring-spun,StyleSymphony,"A stylish casual t-shirt with contemporary styling, ideal for relaxed occasions.","t-shirt, tee, top, casual, apparel, comfortable"
59939b5c-086b-45d6-bef8-bd1c889a543e,t-shirt/59939b5c-086b-45d6-bef8-bd1c889a543e.jpg,t-shirt,graphic,cotton blend,WearWell,Stylish and comfortable everyday essential.,"t-shirt, tee, casual, apparel, v-neck"
5ab59471-f2f5-4ff9-a106-3de7044fbfd2,t-shirt/5ab59471-f2f5-4ff9-a106-3de7044fbfd2.jpg,t-shirt,relaxed fit,tri-blend,WearWell,Quality t-shirt made from premium materials.,"t-shirt, tee, casual, apparel, v-neck"
5ba5d1a1-9fa7-4895-ad5f-bb0e5e0dcf8d,t-shirt/5ba5d1a1-9fa7-4895-ad5f-bb0e5e0dcf8d.jpg,t-shirt,graphic,cotton blend,WearWell,Quality t-shirt made from premium materials.,"t-shirt, tee, casual, apparel, casual"
68231de8-b535-4a6d-a3f5-a6b133f8584a,t-shirt/68231de8-b535-4a6d-a3f5-a6b133f8584a.jpg,t-shirt,casual,cotton,ShirtCraft,Soft fabric t-shirt with a relaxed fit.,"t-shirt, tee, casual, apparel, relaxed fit"
6a2fef2d-6a7d-4293-8d03-e412d57090a5,t-shirt/6a2fef2d-6a7d-4293-8d03-e412d57090a5.jpg,t-shirt,crew neck,cotton,TeeStyle,Quality t-shirt made from premium materials.,"t-shirt, tee, casual, apparel, slim fit"
734353cb-1cef-4292-bf7f-06c4583216b7,t-shirt/734353cb-1cef-4292-bf7f-06c4583216b7.jpg,t-shirt,crew neck,polyester,WearWell,Comfortable and versatile t-shirt perfect for casual wear.,"t-shirt, tee, casual, apparel, relaxed fit"
