image_id,image_path,category,style,material,brand,description,tags
0c4d3d88-9756-4211-83ad-2d6c68ea0043,shorts/0c4d3d88-9756-4211-83ad-2d6c68ea0043.jpg,shorts,casual,cotton,StyleStudio,"Stylish shorts featuring contemporary design, ideal for everyday casual wear.","shorts, bottoms, casual, summer, apparel, comfortable"
0e88c86f-911f-4dd6-85b6-cb953e9dd2c5,shorts/0e88c86f-911f-4dd6-85b6-cb953e9dd2c5.jpg,shorts,casual,denim,Abercrombie & Fitch,"A pair of medium-wash blue denim shorts from Abercrombie & Fitch, featuring a cuffed hem, front and back pockets, and an unzipped fly with a button closure. The shorts appear to be in good, used condition.","shorts, denim shorts, blue shorts, casual wear, summer fashion, women's apparel, abercrombie, cuffed shorts, jeans shorts"
0fc5edba-525c-4234-935f-af55b39530dc,shorts/0fc5edba-525c-4234-935f-af55b39530dc.jpg,shorts,athletic,polyester,ModernEdge,A versatile pair of shorts suitable for various activities and settings.,"shorts, bottoms, casual, summer, apparel, comfortable"
163d946e-7638-4069-92e0-1b02be330271,shorts/163d946e-7638-4069-92e0-1b02be330271.jpg,shorts,fitted,canvas,FashionFable,"Stylish shorts featuring contemporary design, ideal for everyday casual wear.","shorts, bottoms, casual, summer, apparel, comfortable"
17e1cea3-4010-4f4f-b7a4-77d96594e219,shorts/17e1cea3-4010-4f4f-b7a4-77d96594e219.jpg,shorts,denim,blend,FashionFlair,A versatile pair of shorts suitable for various activities and settings.,"shorts, bottoms, casual, summer, apparel, comfortable"
1dbe9268-758f-4cd4-8f42-58b40ef4bb74,shorts/1dbe9268-758f-4cd4-8f42-58b40ef4bb74.jpg,shorts,fitted,canvas,BoutiqueBeauty,A comfortable pair of shorts perfect for warm weather and casual occasions.,"shorts, bottoms, casual, summer, apparel, comfortable"
273d37f5-1f5f-4ab2-bfbf-1e5a4648500c,shorts/273d37f5-1f5f-4ab2-bfbf-1e5a4648500c.jpg,shorts,"Casual, Sporty",Cotton blend,JJ GAME,"A pair of black casual shorts featuring a white drawstring waistband. The shorts are adorned with a vibrant and playful all-over pattern of various sports balls (soccer, basketball, football, baseball) and bats, interspersed with small white and yellow stars.","shorts, casual, sporty, black, drawstring, sports pattern, athletic, leisurewear, summer, men's shorts, unisex shorts, graphic print"
27f3c569-0b20-4791-a39e-54a3c6e16da1,shorts/27f3c569-0b20-4791-a39e-54a3c6e16da1.jpg,shorts,Casual,Cotton blend,COS,A pair of casual shorts featuring horizontal pink and white stripes. They have an elastic waistband with a small pink drawstring tie and two front pockets with coral-colored braided trim.,"shorts, casualwear, striped, pink, white, knit, elastic waist, summer, kids, loungewear"
2e11ac6b-d3ac-4368-b499-9beea54388a4,shorts/2e11ac6b-d3ac-4368-b499-9beea54388a4.jpg,shorts,sporty casual,Polyester blend,Element,"White sporty capri pants or shorts with an elastic waistband and a hang tag still attached. They feature a relaxed fit, a pocket on the back right, and appear to be made from a lightweight, possibly water-resistant fabric suitable for activewear or casual summer wear.","shorts, capri pants, white, sporty, casual, athletic, elastic waistband, new with tags, summerwear, activewear, unisex"
3e203f7a-5b90-4b27-9303-a5634a80f015,shorts/3e203f7a-5b90-4b27-9303-a5634a80f015.jpg,shorts,casual,cotton,StyleStatement,A versatile pair of shorts suitable for various activities and settings.,"shorts, bottoms, casual, summer, apparel, comfortable"
