image_id,image_path,category,style,material,brand,description,tags
014b2a1b-c5a0-469b-b115-bc02b2001db5,hat/014b2a1b-c5a0-469b-b115-bc02b2001db5.jpg,hat,Casual,Knitted yarn,H&M,"A white or off-white knitted hat, likely a beret or slouchy beanie, featuring a beautiful intricate pattern radiating from the crown and a soft, slightly fuzzy texture.","Knitted, Hat, White, Off-white, Beret, Slouchy Beanie, Casual, Winter, Accessory, Yarn, Handmade, Intricate Pattern, Fuzzy, Soft"
4f04a31f-6589-4fe2-8a95-a42f6a164bd9,hat/4f04a31f-6589-4fe2-8a95-a42f6a164bd9.jpg,hat,sporty,polyester blend,Richardson,"A new, sporty Richardson baseball cap with a bright yellow crown and a dark green flat brim. The front features embroidered black and white 'FH' letters, and a baseball explosion graphic to the right. Labels for 'PTS Performance Team Series' and 'UFORM Visor' are visible on the brim.","baseball cap, hat, sportswear, athletic wear, yellow, green, flat brim, embroidered, Richardson, PTS, UFORM Visor, moisture management, teamwear"
50cf0bbc-5a25-4df9-94fe-3323d2b61bff,hat/50cf0bbc-5a25-4df9-94fe-3323d2b61bff.jpg,hat,trucker cap,canvas,ChicChoice,A chic hat that combines style with practicality for everyday wear.,"hat, headwear, accessories, fashion, casual, stylish"
7b4ca4a5-fd04-4a96-9f40-1a982ff6cb8b,hat/7b4ca4a5-fd04-4a96-9f40-1a982ff6cb8b.jpg,hat,beret,fleece,DesignerDenim,A fashionable headwear piece that adds a trendy touch to your look.,"hat, headwear, accessories, fashion, casual, stylish"
7bfaa9c2-d467-4627-9ff4-233075aa65d4,hat/7bfaa9c2-d467-4627-9ff4-233075aa65d4.jpg,hat,trucker cap,canvas,LuxeLabel,A trendy hat that enhances your personal style and completes your ensemble.,"hat, headwear, accessories, fashion, casual, stylish"
7c28df10-5bfc-4deb-b57f-6c292f07b98b,hat/7c28df10-5bfc-4deb-b57f-6c292f07b98b.jpg,hat,"Sporty, Casual",Cotton,DANMARK,"A vibrant red baseball cap featuring a design inspired by the Danish flag on its side, with alternating textured red and plain white vertical stripes. The word 'DANMARK' is embroidered in black on the front of the cap.","baseball cap, hat, red hat, Denmark, Danish flag, sporty, casual, embroidered, accessory, white stripes"
86a3f65f-8c08-48b6-a783-0e38ffa006ef,hat/86a3f65f-8c08-48b6-a783-0e38ffa006ef.jpg,hat,casual,fabric,H&M,A white bucket hat featuring an all-over repeating pattern of green cannabis leaves. The hat appears to be in excellent condition.,"bucket hat, white hat, green pattern, cannabis leaf, marijuana leaf, weed leaf, casual hat, summer hat, fabric hat, streetwear"
8f809fea-1f7d-4695-be36-a061bd77c170,hat/8f809fea-1f7d-4695-be36-a061bd77c170.jpg,hat,Casual,Fleece,FashionFiesta,"A deep red beanie-style hat made from a soft fabric, featuring a folded brim and a decorative top with cut-out fringes or tassels, resting on a tiled surface.","Beanie, Hat, Red, Maroon, Fleece, Casual, Winter, Warm, Tassel top, Fringed"
98daa3f5-8a8b-43ad-b7df-b7f63dfb7c04,hat/98daa3f5-8a8b-43ad-b7df-b7f63dfb7c04.jpg,hat,slouchy beanie,felt,StyleVogue,A trendy hat that enhances your personal style and completes your ensemble.,"hat, headwear, accessories, fashion, casual, stylish"
d56b676e-1f28-4c56-96d6-070237e2a43f,hat/d56b676e-1f28-4c56-96d6-070237e2a43f.jpg,hat,beret,fleece,ClassicCouture,A versatile hat suitable for various occasions and weather conditions.,"hat, headwear, accessories, fashion, casual, stylish"
d7c07f9f-8362-4abc-92aa-193221a7db5b,hat/d7c07f9f-8362-4abc-92aa-193221a7db5b.jpg,hat,Casual,Knitted fabric,Mango,"A black knitted beanie hat featuring two thin, light-colored horizontal stripes above the brim.","Beanie, Hat, Knitted, Black hat, Striped, Casual headwear, Winter hat, Skull cap"
d9024c75-93f8-4b22-aeff-f7966d924c57,hat/d9024c75-93f8-4b22-aeff-f7966d924c57.jpg,hat,fedora,polyester,FashionFiesta,A versatile hat suitable for various occasions and weather conditions.,"hat, headwear, accessories, fashion, casual, stylish"
de697750-a1ce-4595-8836-47e5be76d1da,hat/de697750-a1ce-4595-8836-47e5be76d1da.jpg,hat,baseball,synthetic blend,ChicBoutique,A trendy hat that enhances your personal style and completes your ensemble.,"hat, headwear, accessories, fashion, casual, stylish"
e15db3d5-25ff-42d2-bde0-6c9547bfff6b,hat/e15db3d5-25ff-42d2-bde0-6c9547bfff6b.jpg,hat,fedora,polyester,TrendyThreads,A chic hat that combines style with practicality for everyday wear.,"hat, headwear, accessories, fashion, casual, stylish"
